mean_hue,mean_saturation,mean_value,lesion_ratio,texture_contrast,disease
26.3,102.43,121.22,0.233,72.78,Potato Late Blight
25.99,194.42,149.3,0.1116,57.13,Rice Brown Spot
19.19,106.52,74.4,0.4906,77.52,Potato Late Blight
32.65,123.44,85.01,0.3758,96.82,Apple Black Rot
45.86,172.25,133.69,0.0007,22.91,Healthy
69.84,146.99,133.55,0.0265,24.95,Healthy
42.85,162.82,176.33,0.2427,72.65,Corn Common Rust
26.55,205.11,104.86,0.0839,57.84,Corn Common Rust
27.4,137.01,59.72,0.3653,119.3,Apple Black Rot
16.35,109.53,82.26,0.447,59.56,Tomato Early Blight
18.99,109.36,130.94,0.4335,110.7,Apple Black Rot
17.45,120.52,139.07,0.0889,33.55,Corn Common Rust
29.89,169.0,83.8,0.2815,56.58,Apple Black Rot
18.2,95.5,148.18,0.4436,110.23,Apple Black Rot
41.12,182.26,143.22,0.0038,20.44,Healthy
23.15,216.53,120.3,0.2184,39.72,Corn Common Rust
23.52,143.74,122.61,0.4915,86.14,Apple Black Rot
11.03,119.88,93.35,0.4104,67.56,Apple Black Rot
34.07,163.6,119.6,0.2931,62.13,Tomato Early Blight
53.27,123.98,111.26,0.0055,28.69,Healthy
68.65,173.79,166.52,0.0184,18.39,Healthy
31.98,135.86,83.22,0.1184,34.59,Rice Brown Spot
49.34,197.95,121.04,0.0005,25.27,Healthy
29.2,137.32,117.72,0.1297,60.79,Corn Common Rust
41.6,146.09,71.68,0.2367,55.05,Corn Common Rust
35.52,181.59,173.83,0.2389,73.36,Corn Common Rust
30.02,147.72,107.34,0.195,106.78,Potato Late Blight
33.54,118.61,146.12,0.4669,63.71,Potato Late Blight
21.44,157.73,74.29,0.1737,46.83,Corn Common Rust
17.97,164.49,52.33,0.4351,69.73,Tomato Early Blight
35.79,154.83,173.03,0.0578,50.9,Rice Brown Spot
23.46,137.74,152.57,0.2114,79.53,Corn Common Rust
26.16,197.64,107.49,0.2362,72.92,Rice Brown Spot
60.4,173.99,128.59,0.0113,20.69,Healthy
39.79,152.0,168.51,0.1278,30.54,Rice Brown Spot
65.41,135.49,214.82,0.0203,19.65,Healthy
25.8,124.84,79.32,0.265,97.08,Tomato Early Blight
43.39,198.13,82.48,0.2362,78.71,Rice Brown Spot
23.74,124.15,138.77,0.2728,58.19,Apple Black Rot
35.64,203.7,165.36,0.2177,51.3,Rice Brown Spot
19.92,169.19,64.66,0.3297,66.33,Tomato Early Blight
26.12,201.28,174.2,0.2472,67.67,Corn Common Rust
27.7,128.17,87.8,0.3968,67.41,Apple Black Rot
12.78,129.26,51.14,0.314,53.94,Potato Late Blight
38.02,202.28,151.86,0.1862,41.88,Rice Brown Spot
51.25,128.57,204.23,0.0067,29.26,Healthy
44.34,175.6,105.5,0.0587,76.23,Rice Brown Spot
17.21,175.39,176.62,0.1546,61.47,Rice Brown Spot
17.36,179.58,119.69,0.2845,101.6,Apple Black Rot
17.02,175.04,139.03,0.3095,93.41,Potato Late Blight
14.7,126.37,85.34,0.3543,55.44,Tomato Early Blight
47.8,145.32,103.88,0.0084,18.22,Healthy
35.54,136.26,170.2,0.2145,77.49,Corn Common Rust
33.4,161.82,172.6,0.2232,32.26,Corn Common Rust
63.33,148.04,218.23,0.0113,24.99,Healthy
69.1,184.21,200.6,0.0141,18.3,Healthy
40.41,107.54,183.01,0.016,25.0,Healthy
23.89,156.9,144.48,0.4474,67.31,Potato Late Blight
15.13,105.14,77.47,0.2225,111.48,Apple Black Rot
18.95,91.36,117.16,0.3321,104.06,Tomato Early Blight
17.69,161.64,146.8,0.1809,105.43,Potato Late Blight
44.02,102.88,190.62,0.0186,24.08,Healthy
32.58,141.73,148.05,0.3628,94.57,Potato Late Blight
12.28,152.64,104.74,0.3078,113.73,Potato Late Blight
25.55,166.24,144.95,0.2015,114.86,Apple Black Rot
29.22,86.62,54.59,0.3673,74.32,Tomato Early Blight
25.84,104.01,57.59,0.1951,58.96,Apple Black Rot
13.47,144.09,68.19,0.271,112.78,Potato Late Blight
22.88,177.31,110.19,0.2283,107.53,Potato Late Blight
16.96,97.7,58.87,0.1922,82.25,Tomato Early Blight
32.36,92.87,83.01,0.2626,56.46,Tomato Early Blight
60.63,151.17,118.84,0.0113,10.05,Healthy
39.19,194.83,90.3,0.0919,48.52,Rice Brown Spot
15.9,156.0,103.13,0.4022,54.36,Apple Black Rot
16.31,151.33,139.52,0.3291,87.25,Potato Late Blight
41.02,155.41,113.69,0.071,66.87,Corn Common Rust
15.6,152.21,93.26,0.1155,35.99,Rice Brown Spot
50.29,147.4,142.61,0.0195,19.59,Healthy
31.11,178.68,152.0,0.1363,36.38,Rice Brown Spot
50.12,189.96,172.91,0.0073,19.96,Healthy
25.14,103.72,60.18,0.2035,67.22,Apple Black Rot
40.52,128.79,158.65,0.0611,72.12,Rice Brown Spot
23.11,121.04,148.24,0.1892,77.85,Potato Late Blight
42.52,120.53,177.26,0.1481,66.14,Rice Brown Spot
33.23,135.68,107.16,0.248,103.86,Apple Black Rot
34.2,151.1,69.95,0.4077,87.09,Apple Black Rot
58.32,128.86,169.75,0.0046,19.62,Healthy
24.85,116.92,95.43,0.342,88.42,Potato Late Blight
18.06,160.99,75.46,0.3885,103.22,Tomato Early Blight
21.83,140.61,129.43,0.1873,109.55,Potato Late Blight
43.95,132.43,150.4,0.2377,39.06,Rice Brown Spot
33.16,152.16,54.81,0.4235,107.96,Potato Late Blight
21.05,136.37,88.07,0.2129,63.26,Corn Common Rust
32.7,111.62,108.83,0.389,81.64,Tomato Early Blight
32.49,142.41,103.98,0.3036,90.42,Apple Black Rot
66.99,138.39,165.23,0.0272,22.48,Healthy
20.79,113.28,123.05,0.3928,61.67,Potato Late Blight
29.86,194.15,133.05,0.2495,67.62,Corn Common Rust
22.45,194.39,73.69,0.164,68.12,Corn Common Rust
28.87,90.29,103.65,0.2826,81.99,Potato Late Blight
26.92,199.73,86.49,0.0959,66.11,Rice Brown Spot
10.31,139.84,106.55,0.4007,91.93,Tomato Early Blight
20.45,210.85,134.17,0.1302,53.1,Rice Brown Spot
25.37,171.19,63.91,0.1853,67.92,Apple Black Rot
32.79,130.22,171.06,0.208,31.15,Rice Brown Spot
29.28,117.44,56.89,0.1771,57.3,Tomato Early Blight
67.77,145.08,113.59,0.0295,26.78,Healthy
30.94,113.21,81.14,0.2296,92.55,Apple Black Rot
62.33,120.56,194.53,0.0181,12.29,Healthy
31.12,211.99,108.1,0.1194,66.88,Rice Brown Spot
57.61,103.28,209.53,0.0074,21.55,Healthy
27.57,211.48,109.86,0.1661,61.61,Rice Brown Spot
21.38,171.52,177.31,0.1418,57.87,Rice Brown Spot
12.13,179.69,100.22,0.3584,54.7,Apple Black Rot
15.25,169.81,70.51,0.2167,52.56,Potato Late Blight
30.91,138.75,79.4,0.3999,86.94,Apple Black Rot
21.02,120.08,105.96,0.2043,62.73,Apple Black Rot
17.27,195.32,99.95,0.2295,56.33,Corn Common Rust
40.76,115.62,185.92,0.0198,10.54,Healthy
15.78,147.19,51.97,0.1864,105.99,Potato Late Blight
32.19,135.67,122.08,0.4319,119.21,Potato Late Blight
30.76,119.72,116.81,0.2217,70.52,Apple Black Rot
10.33,88.55,70.79,0.1593,62.7,Tomato Early Blight
34.29,190.39,170.17,0.175,46.79,Rice Brown Spot
19.08,83.42,133.07,0.2708,104.17,Tomato Early Blight
53.08,129.45,213.81,0.0229,12.8,Healthy
24.14,178.54,97.11,0.2137,83.93,Tomato Early Blight
48.06,154.16,176.02,0.0077,12.79,Healthy
20.54,93.23,140.06,0.3919,97.82,Potato Late Blight
32.86,91.78,107.65,0.2459,88.79,Apple Black Rot
54.92,172.02,112.79,0.0042,15.27,Healthy
28.3,105.07,113.31,0.323,90.13,Apple Black Rot
52.56,138.31,162.27,0.0014,13.33,Healthy
14.61,89.03,127.1,0.1739,108.6,Potato Late Blight
18.89,151.9,79.71,0.3482,83.32,Potato Late Blight
13.38,128.38,76.99,0.3389,61.34,Apple Black Rot
16.54,169.64,135.65,0.1168,68.55,Rice Brown Spot
25.33,155.15,115.41,0.191,59.91,Corn Common Rust
47.39,181.91,195.93,0.0208,15.44,Healthy
12.58,111.46,130.74,0.4867,105.3,Tomato Early Blight
53.38,118.51,165.03,0.0262,24.64,Healthy
37.77,192.41,140.1,0.2461,75.17,Corn Common Rust
21.64,218.77,173.85,0.0579,65.28,Rice Brown Spot
45.42,156.79,209.86,0.001,23.95,Healthy
45.78,111.53,150.61,0.0239,24.9,Healthy
40.34,151.91,161.18,0.0574,59.81,Rice Brown Spot
24.02,128.11,138.5,0.3356,80.87,Potato Late Blight
32.17,200.4,129.22,0.1823,66.89,Rice Brown Spot
66.58,161.59,127.96,0.0007,27.4,Healthy
10.01,98.55,88.4,0.4764,54.9,Apple Black Rot
18.77,156.72,90.19,0.318,93.93,Apple Black Rot
44.52,196.83,115.95,0.1343,66.88,Rice Brown Spot
10.08,126.73,79.7,0.4485,100.09,Apple Black Rot
16.26,121.79,178.65,0.1356,49.22,Corn Common Rust
21.55,215.0,156.5,0.0679,50.88,Rice Brown Spot
25.02,170.37,148.92,0.4102,54.55,Apple Black Rot
40.13,143.06,161.37,0.0741,32.35,Rice Brown Spot
46.61,118.64,193.55,0.0105,11.16,Healthy
55.55,159.73,163.0,0.0078,20.3,Healthy
27.4,95.39,131.58,0.2286,65.67,Tomato Early Blight
57.79,158.01,110.98,0.0263,15.31,Healthy
29.3,124.44,163.74,0.0571,46.45,Rice Brown Spot
56.53,108.7,149.01,0.0112,15.2,Healthy
16.46,173.26,175.83,0.0719,74.72,Corn Common Rust
40.54,169.51,122.86,0.1685,71.23,Corn Common Rust
23.59,166.45,123.39,0.3324,110.77,Tomato Early Blight
40.52,206.73,147.92,0.2174,64.87,Rice Brown Spot
12.65,149.9,68.92,0.4586,117.29,Tomato Early Blight
40.88,182.58,115.46,0.0101,24.87,Healthy
30.45,163.21,100.75,0.1522,70.09,Tomato Early Blight
18.16,135.98,61.58,0.2818,50.64,Apple Black Rot
38.4,130.7,153.71,0.1583,78.15,Corn Common Rust
33.98,213.2,81.28,0.2374,64.39,Rice Brown Spot
33.68,96.64,127.1,0.398,83.15,Tomato Early Blight
25.52,84.57,137.15,0.4907,117.82,Apple Black Rot
34.43,179.44,112.2,0.0631,71.08,Rice Brown Spot
16.31,80.1,65.89,0.314,116.1,Potato Late Blight
21.28,96.36,129.48,0.3928,65.45,Potato Late Blight
29.32,103.01,63.13,0.4538,117.43,Tomato Early Blight
36.94,210.95,164.31,0.2429,68.0,Rice Brown Spot
44.52,160.93,168.35,0.096,40.66,Corn Common Rust
59.55,136.85,203.72,0.0142,29.36,Healthy
15.09,89.12,65.37,0.3088,87.12,Apple Black Rot
29.92,109.42,141.18,0.4886,62.98,Potato Late Blight
40.04,159.83,172.88,0.0074,21.17,Healthy
44.82,165.15,139.11,0.0177,18.66,Healthy
19.49,166.46,144.85,0.1291,78.73,Corn Common Rust
17.29,149.5,136.01,0.4229,52.77,Apple Black Rot
28.73,94.59,60.28,0.3498,51.29,Apple Black Rot
25.45,150.25,105.96,0.1534,72.85,Apple Black Rot
23.36,168.25,58.25,0.4386,75.05,Tomato Early Blight
34.44,100.09,119.32,0.4375,52.88,Tomato Early Blight
18.14,183.64,147.71,0.0563,76.81,Rice Brown Spot
61.27,187.1,185.69,0.0241,16.79,Healthy
22.11,146.08,105.3,0.3591,104.87,Potato Late Blight
11.02,96.4,93.86,0.4037,91.53,Potato Late Blight
19.79,207.18,94.11,0.2452,46.84,Rice Brown Spot
38.69,185.87,124.8,0.1611,65.96,Corn Common Rust
18.31,134.25,99.33,0.1785,78.23,Apple Black Rot
17.17,123.07,98.35,0.1425,73.41,Corn Common Rust
28.57,122.55,84.59,0.2799,119.14,Tomato Early Blight
31.68,137.87,93.86,0.4038,84.07,Tomato Early Blight
24.94,159.3,115.5,0.4972,69.87,Tomato Early Blight
21.32,182.3,139.47,0.1966,36.58,Corn Common Rust
42.27,137.97,96.13,0.2443,39.05,Rice Brown Spot
17.07,163.72,80.71,0.131,59.65,Corn Common Rust
59.88,109.53,178.25,0.0094,17.98,Healthy
26.42,112.52,127.35,0.1958,117.89,Potato Late Blight
32.09,124.2,83.09,0.3071,96.86,Potato Late Blight
52.93,124.87,174.06,0.0212,13.34,Healthy
26.38,180.55,109.24,0.1567,69.09,Rice Brown Spot
28.39,206.42,131.4,0.158,31.71,Rice Brown Spot
11.43,133.12,143.66,0.1638,58.55,Apple Black Rot
14.5,88.86,60.33,0.3546,98.17,Apple Black Rot
44.6,216.51,70.54,0.2404,61.96,Rice Brown Spot
57.4,125.42,162.61,0.0103,20.64,Healthy
17.7,150.47,70.19,0.3857,117.89,Apple Black Rot
61.92,115.62,128.15,0.0289,15.11,Healthy
65.14,194.46,181.99,0.0149,22.36,Healthy
40.91,193.09,182.74,0.0203,14.31,Healthy
19.85,145.12,60.66,0.3802,119.96,Apple Black Rot
17.95,166.64,149.33,0.4133,56.33,Apple Black Rot
43.27,165.05,191.82,0.0278,18.76,Healthy
29.06,159.78,93.56,0.4362,58.41,Tomato Early Blight
26.23,112.84,113.02,0.3634,89.44,Apple Black Rot
19.71,124.87,73.75,0.2806,65.91,Potato Late Blight
24.68,96.84,114.26,0.4158,85.03,Tomato Early Blight
40.9,171.91,122.71,0.0551,47.06,Corn Common Rust
19.47,172.66,97.07,0.1453,49.72,Rice Brown Spot
28.67,151.55,102.12,0.4378,80.16,Apple Black Rot
41.94,144.35,171.97,0.0621,76.72,Corn Common Rust
14.86,96.63,111.74,0.3331,96.91,Apple Black Rot
39.09,173.92,104.24,0.1721,65.81,Corn Common Rust
69.3,182.32,162.7,0.0037,27.19,Healthy
20.54,149.53,157.27,0.087,75.89,Corn Common Rust
29.51,200.6,130.52,0.0587,61.66,Rice Brown Spot
10.06,143.8,101.52,0.3577,105.56,Potato Late Blight
14.37,116.08,140.59,0.4195,88.96,Tomato Early Blight
29.51,107.48,132.26,0.2983,96.73,Potato Late Blight
29.17,94.97,92.39,0.2035,66.47,Tomato Early Blight
40.88,141.67,80.53,0.0547,62.1,Rice Brown Spot
21.19,183.8,98.26,0.1764,32.92,Rice Brown Spot
69.63,113.64,183.42,0.0121,18.56,Healthy
60.77,199.13,115.41,0.0031,24.49,Healthy
32.64,157.26,76.49,0.3759,91.7,Tomato Early Blight
49.7,122.67,142.6,0.0021,20.38,Healthy
26.74,86.99,114.02,0.2449,91.5,Tomato Early Blight
23.32,112.43,83.3,0.3843,119.59,Potato Late Blight
19.07,179.55,94.64,0.2667,90.63,Tomato Early Blight
33.94,97.53,119.0,0.2203,87.51,Tomato Early Blight
20.57,162.18,50.12,0.2553,118.69,Apple Black Rot
33.18,103.46,89.93,0.2033,119.47,Potato Late Blight
22.31,187.16,80.22,0.1014,69.4,Rice Brown Spot
58.25,150.68,119.12,0.0019,12.35,Healthy
18.54,118.09,84.63,0.2337,85.68,Tomato Early Blight
19.92,124.72,110.06,0.3305,114.36,Potato Late Blight
24.36,136.66,89.1,0.3254,77.8,Potato Late Blight
30.44,118.06,137.8,0.4538,106.41,Apple Black Rot
39.56,152.25,72.52,0.0808,41.18,Rice Brown Spot
34.39,144.1,132.25,0.1964,110.34,Apple Black Rot
33.19,133.92,168.81,0.2159,45.88,Rice Brown Spot
19.97,94.64,86.75,0.1739,51.81,Potato Late Blight
46.98,108.0,193.21,0.0037,21.89,Healthy
31.9,107.78,135.14,0.1501,51.24,Apple Black Rot
26.26,95.2,56.13,0.4233,82.19,Tomato Early Blight
22.12,155.43,111.95,0.2541,80.12,Tomato Early Blight
44.27,112.14,136.39,0.003,23.84,Healthy
33.54,183.32,95.18,0.0965,41.04,Rice Brown Spot
33.72,172.7,116.87,0.0761,74.33,Corn Common Rust
26.35,115.42,102.55,0.3186,62.38,Apple Black Rot
38.08,121.1,115.78,0.1463,30.96,Corn Common Rust
37.81,133.71,128.88,0.093,30.61,Corn Common Rust
25.73,99.89,56.46,0.1649,76.0,Tomato Early Blight
56.44,145.44,201.32,0.0029,19.76,Healthy
40.94,144.35,141.69,0.2121,60.7,Rice Brown Spot
28.78,198.5,168.13,0.2411,69.35,Corn Common Rust
68.28,180.89,109.17,0.0084,28.61,Healthy
38.44,202.51,124.5,0.1273,52.51,Rice Brown Spot
58.42,106.67,162.21,0.0045,24.75,Healthy
53.3,104.78,104.56,0.0224,23.18,Healthy
11.78,81.21,145.65,0.4081,74.73,Potato Late Blight
34.79,177.07,144.23,0.4243,74.84,Apple Black Rot
12.46,146.03,126.44,0.2428,51.47,Tomato Early Blight
41.97,198.25,95.06,0.2452,63.37,Rice Brown Spot
13.03,141.5,127.46,0.3754,87.12,Potato Late Blight
32.4,112.22,62.52,0.316,57.98,Apple Black Rot
32.47,194.81,159.29,0.1813,36.4,Corn Common Rust
67.84,122.46,144.66,0.013,18.79,Healthy
44.91,127.38,211.4,0.0203,19.92,Healthy
59.37,128.59,197.91,0.0258,26.93,Healthy
56.32,163.61,126.53,0.0294,24.96,Healthy
29.41,145.62,67.74,0.3408,118.93,Apple Black Rot
23.49,152.79,60.79,0.3899,56.43,Apple Black Rot
15.34,130.59,134.07,0.4065,87.96,Tomato Early Blight
37.3,181.19,81.65,0.0803,34.69,Corn Common Rust
34.09,196.11,87.61,0.1423,30.47,Rice Brown Spot
62.25,188.15,133.35,0.0058,27.6,Healthy
15.1,135.51,123.31,0.3656,63.16,Tomato Early Blight
51.26,153.87,162.9,0.0254,26.8,Healthy
37.37,140.25,175.39,0.1236,46.35,Rice Brown Spot
31.05,127.03,100.21,0.1936,76.98,Potato Late Blight
36.66,208.62,135.23,0.1283,50.63,Rice Brown Spot
15.87,136.69,89.95,0.1275,50.12,Corn Common Rust
30.3,192.34,81.46,0.0951,65.15,Rice Brown Spot
22.16,139.94,110.21,0.158,72.55,Apple Black Rot
13.72,149.54,124.59,0.4937,64.69,Apple Black Rot
30.52,164.02,86.22,0.1156,51.7,Rice Brown Spot
19.29,86.25,130.14,0.4183,101.35,Tomato Early Blight
26.06,122.12,113.62,0.425,58.28,Apple Black Rot
34.78,154.72,124.0,0.4826,64.21,Apple Black Rot
25.87,153.45,72.88,0.0548,71.58,Rice Brown Spot
35.93,212.96,156.08,0.0612,72.64,Corn Common Rust
31.82,164.19,68.61,0.4309,82.07,Tomato Early Blight
36.18,183.12,75.48,0.2308,75.47,Corn Common Rust
40.21,105.73,127.03,0.0039,17.98,Healthy
34.71,215.66,77.59,0.0614,44.11,Rice Brown Spot
23.27,147.56,156.58,0.245,48.56,Rice Brown Spot
31.12,106.81,65.64,0.4486,53.26,Tomato Early Blight
32.66,93.92,103.24,0.2939,74.31,Tomato Early Blight
28.31,134.83,62.8,0.4587,77.54,Tomato Early Blight
20.47,106.02,123.08,0.4935,67.96,Tomato Early Blight
28.13,99.12,83.83,0.258,116.29,Potato Late Blight
25.49,131.41,86.64,0.0951,42.55,Rice Brown Spot
24.03,132.34,61.48,0.451,100.6,Apple Black Rot
63.75,154.88,173.55,0.0068,26.94,Healthy
14.14,174.57,135.0,0.3842,82.36,Tomato Early Blight
26.27,134.54,56.23,0.3294,106.45,Potato Late Blight
34.45,159.4,99.73,0.2689,111.05,Tomato Early Blight
18.26,155.68,101.94,0.2217,111.45,Tomato Early Blight
14.04,105.55,144.66,0.3461,102.55,Apple Black Rot
40.82,106.52,155.67,0.0273,20.77,Healthy
38.95,157.19,119.69,0.1295,34.67,Rice Brown Spot
43.93,140.38,127.57,0.1074,69.64,Corn Common Rust
23.29,151.23,140.69,0.0892,74.85,Rice Brown Spot
13.95,149.59,129.33,0.2609,110.0,Tomato Early Blight
32.43,96.89,100.71,0.3593,52.34,Potato Late Blight
36.98,202.04,104.45,0.2097,78.39,Corn Common Rust
32.06,160.36,100.52,0.4885,79.24,Potato Late Blight
35.04,183.47,88.26,0.2264,51.37,Corn Common Rust
27.17,89.3,52.94,0.438,64.68,Potato Late Blight
28.29,98.74,135.82,0.4367,87.86,Apple Black Rot
28.99,178.81,140.13,0.3781,71.98,Potato Late Blight
30.48,167.98,102.54,0.2355,57.91,Tomato Early Blight
12.52,103.99,64.2,0.2718,81.52,Tomato Early Blight
25.34,123.55,107.72,0.4083,106.43,Tomato Early Blight
34.48,143.41,62.63,0.3867,72.76,Apple Black Rot
35.45,136.71,142.08,0.2483,33.63,Rice Brown Spot
27.35,131.27,80.53,0.2244,52.32,Potato Late Blight
27.25,195.92,169.4,0.0966,70.37,Corn Common Rust
34.95,146.03,169.79,0.1841,58.02,Rice Brown Spot
19.74,117.95,72.67,0.2836,59.02,Potato Late Blight
34.42,91.07,92.25,0.1647,101.79,Potato Late Blight
34.16,92.75,120.77,0.4905,107.82,Tomato Early Blight
30.12,81.8,146.28,0.4043,71.33,Potato Late Blight
48.45,187.28,113.51,0.0211,20.81,Healthy
47.26,101.24,156.25,0.009,21.97,Healthy
15.66,153.02,109.88,0.1726,111.41,Potato Late Blight
26.7,139.32,139.23,0.2149,55.53,Tomato Early Blight
40.14,148.53,117.21,0.1036,69.46,Corn Common Rust
30.64,126.36,161.45,0.1698,35.75,Corn Common Rust
30.76,123.26,165.54,0.0629,77.79,Corn Common Rust
35.83,128.22,170.17,0.1429,36.88,Corn Common Rust
32.31,124.34,110.71,0.371,91.42,Potato Late Blight
34.19,187.64,84.49,0.0968,69.34,Corn Common Rust
26.31,175.05,110.07,0.4103,85.44,Potato Late Blight
11.77,105.44,86.19,0.3154,53.2,Apple Black Rot
16.92,177.15,83.13,0.3187,63.73,Potato Late Blight
21.19,127.43,109.09,0.338,109.79,Potato Late Blight
46.57,103.67,112.96,0.0102,26.05,Healthy
46.56,139.68,105.33,0.0083,26.33,Healthy
58.51,111.38,141.43,0.0152,27.48,Healthy
35.26,124.49,119.57,0.2359,38.26,Corn Common Rust
36.9,208.23,143.8,0.1016,63.73,Rice Brown Spot
64.71,195.51,198.54,0.0,22.73,Healthy
16.44,85.95,110.38,0.3903,58.01,Apple Black Rot
30.01,146.27,59.23,0.3587,88.47,Apple Black Rot
42.13,108.02,142.57,0.0283,23.37,Healthy
59.39,188.8,171.84,0.0151,12.78,Healthy
58.38,187.37,186.88,0.0036,28.05,Healthy
30.73,179.13,132.0,0.3932,87.27,Apple Black Rot
22.15,137.72,54.37,0.1931,89.1,Potato Late Blight
61.88,165.23,201.47,0.0208,18.6,Healthy
11.94,134.25,136.17,0.3566,65.84,Potato Late Blight
21.25,137.93,125.94,0.1846,112.28,Potato Late Blight
19.25,82.74,89.3,0.334,85.82,Tomato Early Blight
27.92,134.26,167.91,0.1192,37.72,Rice Brown Spot
30.52,157.89,70.74,0.1272,69.59,Corn Common Rust
17.78,147.71,110.58,0.2776,65.25,Potato Late Blight
31.79,130.53,88.41,0.2444,41.42,Rice Brown Spot
23.3,93.58,59.93,0.2231,114.79,Potato Late Blight
14.0,82.34,125.62,0.3105,70.25,Potato Late Blight
40.06,157.04,111.23,0.1448,52.21,Corn Common Rust
30.67,178.4,78.84,0.4864,77.26,Tomato Early Blight
44.12,197.35,177.81,0.1456,56.61,Corn Common Rust
37.86,203.36,118.45,0.1105,42.97,Corn Common Rust
14.43,130.74,117.74,0.2323,108.15,Potato Late Blight
25.42,178.05,85.31,0.1388,61.31,Rice Brown Spot
15.18,158.24,123.46,0.2552,72.81,Potato Late Blight
21.54,153.08,64.8,0.4484,99.76,Tomato Early Blight
15.69,176.4,140.95,0.4028,87.34,Apple Black Rot
16.14,194.59,130.43,0.0615,64.04,Rice Brown Spot
66.31,194.4,117.86,0.0139,29.62,Healthy
37.64,169.19,103.27,0.1483,56.12,Rice Brown Spot
29.04,118.65,101.13,0.3223,90.41,Apple Black Rot
32.36,125.6,94.35,0.3607,91.4,Potato Late Blight
29.29,219.61,76.54,0.0506,62.01,Corn Common Rust
66.79,106.25,206.02,0.0134,20.21,Healthy
15.52,153.4,126.26,0.4752,52.14,Apple Black Rot
27.31,93.44,79.94,0.2756,106.31,Potato Late Blight
15.27,175.74,50.89,0.4992,97.38,Potato Late Blight
42.69,100.23,105.3,0.0103,22.66,Healthy
15.17,213.71,160.41,0.2118,74.22,Corn Common Rust
25.34,88.86,98.76,0.1772,78.53,Potato Late Blight
10.61,110.61,104.91,0.3712,90.39,Apple Black Rot
10.15,90.09,136.89,0.3886,57.91,Tomato Early Blight
29.86,150.71,55.02,0.1755,78.2,Tomato Early Blight
40.9,160.13,102.18,0.0805,43.31,Rice Brown Spot
18.04,127.64,72.6,0.3742,118.53,Apple Black Rot
21.44,161.61,153.56,0.0876,65.99,Corn Common Rust
21.35,162.14,105.47,0.373,86.84,Apple Black Rot
27.85,162.25,130.4,0.3434,86.41,Tomato Early Blight
42.5,192.07,114.16,0.0817,74.1,Corn Common Rust
28.04,107.15,90.24,0.186,63.23,Tomato Early Blight
16.41,147.62,147.77,0.0625,71.97,Corn Common Rust
50.21,194.04,109.93,0.0279,26.53,Healthy
16.76,164.27,81.33,0.4261,112.43,Potato Late Blight
27.67,157.73,173.0,0.185,35.8,Corn Common Rust
24.12,173.02,134.42,0.3865,59.74,Tomato Early Blight
36.39,186.64,176.27,0.2022,77.54,Corn Common Rust
48.94,110.54,193.82,0.0193,10.96,Healthy
29.96,158.51,165.24,0.1452,35.55,Corn Common Rust
29.27,80.29,135.9,0.2151,88.64,Apple Black Rot
40.51,141.2,142.31,0.1445,74.01,Rice Brown Spot
63.89,175.4,104.31,0.0118,28.62,Healthy
37.16,151.56,140.93,0.129,65.66,Rice Brown Spot
