N,P,K,temperature,humidity,ph,rainfall,label
43.04,65.22,77.9,17.96,14.05,8.54,71.73,Chickpea
33.34,65.77,80.77,19.82,18.29,6.89,78.75,Chickpea
37.12,65.95,84.02,19.49,18.1,7.66,88.8,Chickpea
36.36,59.39,81.0,18.35,16.21,7.62,89.29,Chickpea
35.16,69.43,84.26,19.24,20.9,7.6,66.79,Chickpea
40.65,69.88,83.22,19.67,16.79,6.48,78.43,Chickpea
28.62,63.87,81.47,20.67,17.59,6.5,83.33,Chickpea
43.97,63.69,79.66,19.01,15.82,7.66,79.09,Chickpea
38.15,61.95,78.91,19.72,16.44,8.33,77.0,Chickpea
36.69,73.33,76.45,17.24,14.71,8.04,75.86,Chickpea
54.19,63.97,80.46,20.54,20.01,8.54,89.06,Chickpea
42.68,71.2,81.95,18.45,15.77,7.25,78.72,Chickpea
31.6,71.85,82.39,19.09,19.22,6.54,78.55,Chickpea
29.62,55.83,79.79,18.88,19.27,7.64,72.32,Chickpea
48.91,75.13,81.46,18.77,15.56,7.02,88.17,Chickpea
49.13,77.15,78.78,17.88,17.21,6.14,82.42,Chickpea
33.89,64.59,76.01,19.51,16.2,6.52,58.46,Chickpea
34.79,78.58,84.15,18.54,16.1,7.54,72.51,Chickpea
37.26,72.29,83.07,18.9,16.69,6.7,73.8,Chickpea
33.3,69.8,82.28,18.2,19.24,7.08,79.84,Chickpea
29.4,52.35,82.21,19.74,16.58,7.29,83.87,Chickpea
23.28,64.19,81.99,17.75,17.44,6.4,83.5,Chickpea
34.73,57.41,82.91,18.27,15.78,7.38,88.61,Chickpea
27.38,67.89,81.07,19.69,17.26,7.02,73.79,Chickpea
35.65,60.8,72.7,19.44,18.36,5.77,72.43,Chickpea
39.64,80.36,80.05,18.27,16.73,8.11,75.16,Chickpea
29.01,64.48,77.62,19.12,19.44,7.45,78.11,Chickpea
32.81,57.73,82.21,18.92,16.73,9.25,82.24,Chickpea
29.36,64.84,82.87,19.11,14.84,7.82,74.99,Chickpea
49.05,74.25,78.88,20.28,17.1,7.78,83.64,Chickpea
28.65,63.48,82.57,18.67,16.39,6.65,83.18,Chickpea
50.47,60.83,80.06,20.41,16.88,7.53,72.03,Chickpea
38.21,66.33,82.46,20.19,20.88,7.61,82.44,Chickpea
36.46,65.29,80.85,18.7,17.25,8.07,72.45,Chickpea
43.55,75.73,79.7,16.88,16.09,8.06,79.83,Chickpea
27.51,64.35,82.1,19.55,16.64,7.02,77.06,Chickpea
28.08,77.6,79.19,20.22,19.28,7.87,76.76,Chickpea
38.03,67.35,77.74,19.32,15.23,7.99,76.52,Chickpea
36.51,69.27,79.35,19.59,16.29,7.79,69.91,Chickpea
35.95,79.62,77.5,18.32,17.77,7.36,82.63,Chickpea
38.67,71.47,82.77,19.41,16.64,7.67,94.25,Chickpea
34.01,61.41,82.77,18.88,14.0,7.78,75.99,Chickpea
34.32,69.57,80.48,19.71,16.35,7.57,78.05,Chickpea
40.54,71.35,77.66,20.09,16.2,7.76,82.75,Chickpea
48.79,66.1,79.13,18.98,16.55,7.75,67.88,Chickpea
27.1,60.83,82.38,20.71,16.84,7.14,80.53,Chickpea
43.71,61.7,80.6,19.98,17.75,7.37,87.51,Chickpea
14.73,71.74,78.36,17.17,17.77,8.11,78.97,Chickpea
42.15,77.58,83.29,20.64,18.11,7.3,67.99,Chickpea
33.15,62.23,85.43,18.82,17.18,7.59,80.33,Chickpea
47.71,63.61,80.49,18.26,15.02,6.87,79.72,Chickpea
31.78,63.17,76.48,18.92,14.74,7.73,80.62,Chickpea
24.07,65.57,78.12,19.32,19.01,6.08,80.86,Chickpea
33.8,71.7,80.53,18.25,16.52,6.75,88.07,Chickpea
35.16,79.38,79.85,18.29,14.73,6.12,68.12,Chickpea
37.0,70.68,76.05,19.9,16.28,7.34,92.09,Chickpea
41.73,65.82,77.77,16.85,15.92,7.12,72.6,Chickpea
34.02,67.98,79.44,18.35,17.25,7.53,71.82,Chickpea
45.58,66.88,80.05,19.71,17.35,7.85,82.15,Chickpea
30.41,69.76,77.14,19.11,16.95,7.12,79.04,Chickpea
20.89,64.07,80.23,19.16,15.46,8.04,73.5,Chickpea
42.27,70.17,78.38,20.78,15.21,7.82,87.5,Chickpea
29.97,76.2,79.37,19.29,17.39,7.17,86.08,Chickpea
40.95,56.57,83.26,17.34,18.55,7.95,71.82,Chickpea
31.92,60.59,79.46,18.69,18.17,8.07,90.47,Chickpea
30.78,66.19,75.79,18.19,18.45,8.26,70.74,Chickpea
30.56,67.33,80.7,18.19,17.64,6.95,79.89,Chickpea
39.1,67.54,78.91,18.89,16.87,7.02,78.06,Chickpea
46.99,71.01,79.26,19.7,16.5,7.98,82.77,Chickpea
34.2,70.3,76.07,17.87,15.21,7.34,92.99,Chickpea
51.73,71.49,81.25,17.2,16.19,6.76,75.34,Chickpea
33.74,64.55,75.05,19.75,15.39,7.4,95.56,Chickpea
28.1,51.69,79.28,20.1,19.94,6.48,83.73,Chickpea
31.51,66.84,86.61,17.5,17.38,7.54,88.14,Chickpea
35.73,69.43,79.02,19.27,16.49,7.64,77.23,Chickpea
37.83,67.32,82.82,18.95,14.34,8.04,73.21,Chickpea
30.1,63.78,83.44,16.86,21.71,7.91,81.67,Chickpea
34.59,69.28,81.3,19.65,17.83,7.31,78.52,Chickpea
33.87,66.28,82.83,19.59,14.0,7.66,81.46,Chickpea
34.86,65.07,82.81,19.95,15.84,7.5,72.71,Chickpea
24.65,63.58,82.16,19.95,17.77,7.7,83.87,Chickpea
30.19,70.2,82.0,19.75,18.78,7.69,82.64,Chickpea
43.03,67.33,77.8,18.84,15.88,6.83,78.92,Chickpea
29.06,65.58,75.27,19.21,17.0,6.74,84.94,Chickpea
42.03,57.45,78.09,18.23,15.59,7.77,78.55,Chickpea
33.02,54.98,81.59,17.76,17.09,7.42,90.2,Chickpea
25.18,48.63,80.46,20.8,18.86,7.38,76.31,Chickpea
41.05,61.42,81.19,19.51,18.59,8.97,82.94,Chickpea
31.18,67.34,75.58,18.31,16.39,6.92,81.14,Chickpea
28.83,74.51,80.0,18.99,16.51,7.35,86.19,Chickpea
28.5,63.39,79.24,17.65,15.77,6.95,86.56,Chickpea
36.97,68.71,82.13,18.86,17.59,7.19,81.99,Chickpea
30.63,52.26,79.66,20.42,18.39,7.85,89.27,Chickpea
35.66,68.73,78.46,18.68,17.92,8.0,78.95,Chickpea
31.62,67.5,81.5,17.56,14.0,6.91,70.84,Chickpea
31.19,66.58,78.87,20.45,17.49,7.44,84.67,Chickpea
26.46,73.99,79.81,19.67,15.39,6.28,86.13,Chickpea
29.85,61.86,17.83,22.81,19.42,5.96,84.74,Kidneybeans
31.49,65.45,21.51,18.64,21.22,5.76,82.45,Kidneybeans
32.13,64.29,19.43,17.51,17.02,5.73,159.28,Kidneybeans
32.4,67.38,19.34,20.06,22.46,5.6,130.07,Kidneybeans
31.97,71.99,21.1,20.05,22.68,5.82,97.03,Kidneybeans
23.91,68.14,23.87,16.9,18.93,5.77,106.14,Kidneybeans
28.58,69.02,19.44,23.72,18.7,5.65,102.68,Kidneybeans
17.23,66.4,24.15,20.05,21.9,5.59,91.13,Kidneybeans
25.16,65.51,23.2,21.39,19.55,5.78,116.21,Kidneybeans
34.63,77.38,17.46,17.97,19.3,5.72,115.49,Kidneybeans
33.67,67.03,19.2,20.38,20.04,6.01,68.83,Kidneybeans
28.65,80.15,20.02,19.52,20.87,5.73,135.89,Kidneybeans
13.68,77.08,16.44,19.33,20.75,5.82,69.04,Kidneybeans
30.39,80.15,16.59,20.47,20.34,5.8,105.43,Kidneybeans
23.49,70.55,24.51,19.52,22.76,5.59,83.48,Kidneybeans
30.45,76.78,20.89,19.22,21.5,5.59,118.6,Kidneybeans
33.01,64.67,18.82,20.66,20.74,5.74,152.24,Kidneybeans
25.96,65.26,18.38,21.86,21.18,5.67,134.73,Kidneybeans
36.37,63.75,15.33,22.52,20.3,5.85,60.67,Kidneybeans
33.08,59.93,21.83,20.04,19.83,5.7,120.44,Kidneybeans
28.16,71.15,24.94,16.09,24.33,5.76,84.78,Kidneybeans
19.19,66.32,22.3,19.68,24.14,5.57,104.73,Kidneybeans
19.67,69.77,22.22,18.95,16.94,5.77,114.83,Kidneybeans
30.03,75.22,17.32,21.7,23.59,5.53,112.19,Kidneybeans
24.35,66.99,20.87,18.78,20.32,5.75,80.54,Kidneybeans
20.71,71.75,17.13,21.67,22.31,5.53,89.75,Kidneybeans
34.96,61.37,18.84,21.16,22.87,5.72,91.56,Kidneybeans
36.39,78.37,22.45,20.21,20.09,5.65,116.76,Kidneybeans
30.11,76.26,21.63,16.24,23.34,5.63,96.36,Kidneybeans
29.06,79.97,27.77,21.52,21.18,5.82,124.97,Kidneybeans
25.5,78.72,20.58,21.24,22.67,5.8,123.88,Kidneybeans
23.64,64.01,17.25,21.1,22.86,5.81,142.68,Kidneybeans
27.47,71.68,17.27,19.03,22.72,5.86,98.39,Kidneybeans
27.05,58.01,19.11,22.23,22.51,5.81,106.12,Kidneybeans
27.54,63.37,21.75,21.05,22.36,5.68,56.55,Kidneybeans
34.36,64.51,17.84,21.73,20.81,5.88,118.88,Kidneybeans
31.77,58.96,23.03,20.65,20.85,5.77,65.03,Kidneybeans
30.05,61.07,16.62,16.19,23.45,5.67,139.51,Kidneybeans
24.15,56.83,17.21,23.09,21.23,5.68,108.6,Kidneybeans
30.64,74.48,23.62,19.1,19.18,5.7,110.86,Kidneybeans
21.48,61.52,20.86,19.88,21.56,5.66,99.82,Kidneybeans
21.72,73.06,22.59,15.38,19.87,5.56,90.37,Kidneybeans
26.98,58.44,17.7,17.49,21.86,5.76,88.76,Kidneybeans
28.61,64.08,19.32,24.18,23.85,5.59,123.67,Kidneybeans
32.57,60.32,22.05,23.84,19.54,5.64,127.9,Kidneybeans
29.2,70.95,20.85,20.98,19.18,5.88,131.32,Kidneybeans
26.07,67.23,16.17,21.29,22.5,5.74,130.3,Kidneybeans
25.41,71.03,17.45,19.94,21.19,5.78,96.69,Kidneybeans
26.68,72.66,18.91,15.98,24.56,5.92,75.92,Kidneybeans
31.81,64.36,20.66,20.74,21.09,5.65,89.46,Kidneybeans
21.77,62.3,19.83,18.21,22.69,5.94,91.95,Kidneybeans
29.0,70.62,21.18,20.19,22.8,5.81,77.15,Kidneybeans
32.93,73.05,18.09,20.09,22.7,5.72,129.14,Kidneybeans
42.27,62.59,16.55,20.76,22.76,5.72,137.7,Kidneybeans
19.13,71.83,18.49,24.3,24.99,5.65,92.63,Kidneybeans
32.87,65.08,19.89,20.06,18.14,5.75,89.48,Kidneybeans
24.42,76.52,16.86,22.03,21.01,5.72,122.78,Kidneybeans
29.63,71.07,22.42,19.17,20.43,5.61,86.43,Kidneybeans
45.93,75.28,16.62,16.69,22.34,5.82,117.35,Kidneybeans
25.91,66.72,20.82,20.21,17.62,5.72,85.84,Kidneybeans
28.6,86.16,20.92,19.22,23.11,5.81,114.45,Kidneybeans
31.29,80.35,17.17,21.18,19.88,5.82,84.33,Kidneybeans
24.89,65.66,22.44,22.3,19.32,5.76,89.03,Kidneybeans
19.63,66.14,19.23,26.07,22.26,5.58,92.29,Kidneybeans
33.88,80.55,16.04,15.3,24.77,5.8,85.46,Kidneybeans
30.84,51.03,20.01,20.82,23.12,5.62,106.93,Kidneybeans
21.72,69.1,17.76,18.98,19.76,5.83,124.32,Kidneybeans
26.03,67.74,16.38,19.25,21.41,6.08,79.98,Kidneybeans
36.65,73.73,20.7,24.4,22.15,5.8,103.8,Kidneybeans
35.15,74.35,18.44,16.7,21.14,5.65,103.57,Kidneybeans
35.23,64.64,19.89,20.15,22.98,5.47,91.35,Kidneybeans
28.82,75.0,18.77,15.31,22.58,5.67,78.23,Kidneybeans
23.6,66.35,18.49,14.49,23.07,5.91,119.66,Kidneybeans
20.39,66.24,19.98,21.5,22.67,5.66,106.84,Kidneybeans
30.36,76.6,21.76,21.97,21.65,5.93,114.22,Kidneybeans
22.12,76.27,21.74,18.89,20.66,5.79,115.42,Kidneybeans
28.73,69.45,24.25,22.68,21.83,5.87,81.77,Kidneybeans
29.99,78.81,19.45,17.88,20.36,5.61,87.34,Kidneybeans
25.18,58.72,20.04,22.26,19.91,5.94,116.49,Kidneybeans
33.94,63.39,22.14,17.27,23.06,5.77,117.45,Kidneybeans
20.15,61.91,21.49,17.63,22.31,5.58,124.08,Kidneybeans
19.8,70.95,21.56,18.26,22.52,5.78,92.88,Kidneybeans
21.2,55.23,20.87,16.09,21.67,5.72,120.28,Kidneybeans
25.61,65.44,21.83,20.84,22.05,5.81,70.45,Kidneybeans
32.23,71.33,17.46,19.39,21.43,5.73,112.51,Kidneybeans
36.45,74.26,16.72,21.56,23.83,5.8,129.55,Kidneybeans
40.08,73.9,20.62,22.61,21.75,5.75,97.09,Kidneybeans
37.27,62.38,23.83,21.25,19.05,5.8,57.75,Kidneybeans
31.41,73.03,18.52,20.31,24.92,5.69,81.17,Kidneybeans
36.76,79.77,20.01,22.53,23.85,5.66,94.08,Kidneybeans
35.19,78.03,21.41,17.8,24.98,5.68,97.46,Kidneybeans
29.64,77.21,22.13,21.04,22.31,5.76,117.56,Kidneybeans
11.69,65.65,20.6,17.12,22.18,5.72,144.5,Kidneybeans
37.33,64.59,19.62,19.82,20.71,5.77,87.94,Kidneybeans
20.43,71.39,21.57,17.99,23.07,5.67,110.7,Kidneybeans
32.63,67.29,21.14,18.71,21.16,5.72,88.2,Kidneybeans
26.4,57.82,18.77,19.29,21.05,5.72,103.61,Kidneybeans
30.5,72.97,18.38,16.99,19.68,5.69,97.08,Kidneybeans
22.69,59.4,18.86,20.45,22.54,5.68,95.71,Kidneybeans
21.71,67.3,17.88,21.43,18.37,5.71,111.77,Kidneybeans
28.65,84.33,20.87,29.74,54.52,4.67,142.78,Pigeonpeas
22.29,73.22,18.63,32.18,51.82,7.3,136.17,Pigeonpeas
38.95,72.59,21.21,33.51,56.97,4.55,137.33,Pigeonpeas
32.78,67.19,16.49,32.36,63.52,6.94,143.29,Pigeonpeas
33.45,65.21,15.74,29.96,62.81,5.79,138.31,Pigeonpeas
25.63,79.4,24.06,38.6,54.2,6.22,103.29,Pigeonpeas
36.73,60.2,20.54,29.48,52.06,5.37,128.28,Pigeonpeas
24.13,64.07,22.08,29.46,56.1,6.91,130.89,Pigeonpeas
23.01,66.06,22.95,33.03,52.34,6.36,114.69,Pigeonpeas
31.76,70.05,19.23,30.19,50.57,6.4,178.8,Pigeonpeas
23.52,70.36,14.78,30.89,54.84,5.32,119.25,Pigeonpeas
23.33,69.33,19.53,26.34,44.4,5.54,157.59,Pigeonpeas
10.33,64.38,18.68,36.32,53.07,6.29,148.88,Pigeonpeas
14.18,72.3,20.54,33.9,74.63,4.44,192.43,Pigeonpeas
