crop,area_acres,yield_tons,selling_price_per_ton,estimated_expenses,expected_revenue,expected_profit
Maize,2.1,4.03,1162.65,2734.57,4680.02,1945.45
Rice,10.64,26.17,1115.21,8839.12,29189.61,20350.49
Soybean,8.69,115.49,860.2,5525.62,99341.05,93815.43
Soybean,8.23,101.62,635.67,9683.28,64599.42,54916.15
Wheat,4.47,32.95,957.85,1417.65,31557.91,30140.26
Potato,2.29,6.98,511.41,3371.59,3568.65,197.06
Sugarcane,7.64,23.79,691.62,6631.43,16452.22,9820.8
Rice,7.51,91.73,248.06,10800.13,22753.43,11953.3
Cotton,1.63,12.55,825.86,1476.98,10366.94,8889.95
Rice,8.55,109.33,815.85,12251.17,89198.32,76947.15
Maize,1.37,15.31,1140.23,1358.23,17456.23,16098.0
Maize,9.03,32.68,1011.2,11597.77,33046.71,21448.94
Cotton,6.41,111.2,1105.35,3426.58,122910.69,119484.1
Sugarcane,4.0,30.93,238.96,4172.04,7391.59,3219.54
Tomato,2.0,13.5,1044.88,654.75,14109.45,13454.7
Maize,4.65,45.03,892.89,3338.52,40207.56,36869.04
Wheat,13.28,181.05,1003.48,8481.45,181681.8,173200.35
Maize,6.93,75.39,775.92,8161.73,58494.74,50333.01
Cotton,6.21,88.85,540.8,8796.53,48047.77,39251.25
Sugarcane,4.34,55.2,939.91,2542.94,51881.28,49338.34
Potato,13.64,134.13,1026.46,9327.66,137678.95,128351.29
Wheat,2.4,5.72,1158.54,3159.49,6623.98,3464.48
Rice,5.47,93.96,1150.61,5405.43,108110.54,102705.11
Tomato,2.17,6.53,802.44,2088.97,5237.02,3148.05
Sugarcane,11.53,167.94,989.62,4722.26,166192.69,161470.44
Maize,14.64,262.53,255.87,17339.62,67173.27,49833.66
Sugarcane,5.91,20.29,342.99,7177.04,6959.45,-217.59
Cotton,13.14,201.44,626.09,7449.41,126121.22,118671.81
Rice,12.51,164.49,281.35,5024.99,46279.6,41254.61
Wheat,9.14,143.85,1080.36,5336.96,155412.78,150075.83
Tomato,14.8,206.23,576.26,5924.58,118842.52,112917.94
Sugarcane,6.29,82.64,448.72,4381.02,37080.84,32699.83
Potato,7.9,13.32,668.66,2902.56,8909.55,6006.99
Cotton,11.74,177.0,944.21,13117.3,167128.95,154011.65
Cotton,14.47,111.21,485.71,19423.91,54016.25,34592.33
Potato,7.11,104.75,1177.9,6875.58,123379.58,116504.0
Tomato,13.48,137.55,1192.96,5236.18,164092.89,158856.71
Wheat,10.74,29.47,366.22,6013.86,10790.94,4777.08
Tomato,7.36,87.29,784.31,10171.97,68465.17,58293.21
Rice,13.81,239.23,257.86,10683.77,61689.14,51005.37
Soybean,9.68,58.83,388.12,8291.91,22834.95,14543.04
Maize,4.21,24.8,560.35,2577.2,13895.08,11317.88
Wheat,10.77,111.47,509.53,13753.93,56795.07,43041.14
Cotton,4.79,17.72,276.2,6848.04,4895.34,-1952.7
Wheat,11.16,129.7,618.24,15839.2,80183.11,64343.9
Maize,8.72,36.81,611.26,10755.58,22497.71,11742.13
Maize,14.82,59.02,794.13,11221.18,46868.7,35647.52
Potato,12.61,137.3,263.51,4339.6,36180.81,31841.21
Tomato,4.83,11.73,1064.72,6157.64,12491.59,6333.95
Tomato,11.5,190.5,785.15,13469.0,149572.95,136103.95
Maize,12.9,71.97,650.54,5867.14,46819.98,40952.84
Wheat,4.85,23.84,1078.22,5856.2,25704.7,19848.5
Maize,6.01,20.29,871.57,5559.41,17684.54,12125.13
Potato,12.64,83.14,1016.39,18473.06,84507.15,66034.09
Potato,13.27,108.28,334.02,4440.39,36165.6,31725.21
Tomato,11.99,144.42,1005.04,16585.11,145145.63,128560.52
Soybean,1.2,8.77,789.92,927.63,6926.03,5998.41
Wheat,2.27,30.67,747.45,1912.67,22921.59,21008.92
Tomato,6.55,77.08,1062.36,9430.53,81882.57,72452.03
Cotton,7.43,114.39,968.92,2819.88,110838.73,108018.84
Sugarcane,14.72,141.73,528.75,15604.88,74940.74,59335.87
Soybean,5.78,59.93,660.12,5791.83,39559.85,33768.03
Wheat,2.94,35.54,381.88,2104.07,13572.81,11468.73
Wheat,13.24,132.42,1173.11,13536.01,155346.71,141810.71
Wheat,1.57,6.74,478.59,805.59,3225.95,2420.36
Sugarcane,8.68,89.58,555.99,11920.93,49806.23,37885.29
Rice,8.05,103.75,239.31,10134.59,24828.36,14693.78
Rice,10.63,105.68,356.98,8000.9,37724.33,29723.43
Rice,4.88,72.18,948.26,2542.62,68445.73,65903.11
Tomato,8.51,142.55,436.12,10316.41,62169.42,51853.01
Potato,7.48,103.41,236.68,4507.15,24475.51,19968.36
Tomato,10.62,163.91,949.62,3574.44,155648.02,152073.58
Maize,7.26,74.73,442.47,4526.0,33066.28,28540.28
Sugarcane,3.55,38.38,1040.71,1445.81,39943.06,38497.25
Potato,2.68,43.35,793.59,2984.28,34398.41,31414.13
Wheat,10.08,94.92,784.2,11940.77,74434.04,62493.27
Tomato,11.44,98.61,327.58,7325.21,32301.67,24976.46
Potato,13.6,156.68,444.35,12206.97,69620.59,57413.62
Potato,9.48,51.33,301.78,4583.34,15490.98,10907.64
Tomato,7.83,121.66,287.89,9920.07,35023.28,25103.21
Soybean,13.55,38.28,724.51,10741.79,27731.82,16990.03
Cotton,14.96,243.78,776.0,20959.3,189176.76,168217.46
Tomato,12.44,71.59,370.89,13712.41,26552.37,12839.96
Rice,11.06,114.21,676.62,14445.58,77278.3,62832.72
Sugarcane,3.62,24.75,625.44,3289.8,15481.97,12192.17
Rice,8.42,110.86,967.78,3407.07,107284.15,103877.07
Potato,3.16,29.84,732.59,1144.91,21858.14,20713.23
Maize,7.36,77.66,748.92,3989.55,58161.09,54171.54
Soybean,12.34,70.35,881.5,14957.32,62011.39,47054.07
Wheat,7.62,87.68,994.29,3263.51,87184.22,83920.71
Sugarcane,12.63,220.03,324.3,14864.46,71354.68,56490.21
Rice,3.87,30.02,1126.45,4512.12,33816.96,29304.83
Cotton,12.79,48.67,995.27,6929.19,48434.81,41505.62
Potato,12.55,57.43,435.69,13311.37,25023.22,11711.85
Potato,6.02,96.22,592.45,7709.76,57005.22,49295.47
Tomato,10.99,179.67,824.1,10418.43,148070.02,137651.59
Tomato,8.04,42.86,1099.57,6114.33,47122.41,41008.08
Potato,1.93,10.2,742.85,1580.6,7578.84,5998.24
Wheat,9.79,68.77,339.27,12262.59,23331.51,11068.91
Sugarcane,7.94,108.99,773.15,11881.92,84267.96,72386.04
Rice,5.36,30.04,943.95,1825.08,28355.57,26530.49
Potato,11.0,106.13,954.64,4657.18,101313.24,96656.07
Sugarcane,2.55,39.42,327.49,1979.8,12910.13,10930.33
Sugarcane,8.56,81.51,608.96,10494.38,49638.71,39144.33
Wheat,9.98,129.19,742.72,6007.18,95953.73,89946.55
Sugarcane,12.58,217.86,542.52,7203.33,118195.26,110991.93
Tomato,7.47,127.93,353.35,7494.04,45204.08,37710.04
Potato,2.41,13.8,926.1,2438.99,12781.87,10342.89
Cotton,8.91,115.81,1122.5,10236.94,129993.68,119756.74
Maize,11.8,90.58,268.92,4633.87,24359.72,19725.86
Potato,14.08,236.17,650.84,6137.77,153706.89,147569.12
Sugarcane,3.32,15.17,1037.49,2317.38,15743.14,13425.77
Potato,8.26,93.02,599.0,3022.16,55717.4,52695.24
Rice,3.88,56.23,803.72,1695.21,45190.86,43495.66
Cotton,8.52,142.15,546.35,6105.78,77664.35,71558.56
Maize,13.86,155.03,232.85,19336.57,36097.84,16761.27
Potato,3.47,33.73,618.93,4849.6,20878.45,16028.85
Rice,11.93,72.52,420.1,6622.04,30464.63,23842.59
Rice,3.49,60.62,348.66,2785.44,21136.52,18351.08
Cotton,8.49,38.58,499.6,5705.29,19274.37,13569.08
Potato,11.5,57.08,1098.05,6280.62,62673.47,56392.84
Sugarcane,9.75,75.39,1036.56,9797.87,78145.65,68347.78
Rice,11.86,106.47,724.39,9828.77,77126.29,67297.52
Maize,7.96,112.44,302.98,5580.55,34066.03,28485.48
Tomato,14.25,109.12,470.74,15282.69,51365.67,36082.98
Cotton,12.21,215.54,1039.79,16366.86,224120.45,207753.59
Soybean,1.38,7.12,431.07,1525.93,3069.65,1543.72
Sugarcane,9.33,66.23,769.44,12735.94,50959.46,38223.52
Cotton,4.33,13.61,443.17,5057.22,6033.31,976.09
Soybean,12.3,213.75,1144.41,5770.44,244615.8,238845.35
Potato,5.1,83.14,213.0,2054.95,17709.6,15654.65
Tomato,12.87,45.39,1076.44,13794.41,48860.51,35066.1
Maize,13.5,202.3,541.82,8251.07,109607.83,101356.76
Maize,6.08,12.56,1030.65,4344.54,12944.61,8600.07
Soybean,8.73,75.91,494.47,12553.07,37532.52,24979.45
Potato,11.92,40.34,765.78,17665.69,30889.04,13223.35
Tomato,12.2,103.88,222.47,7592.18,23109.72,15517.54
Soybean,10.78,87.8,418.02,11582.55,36703.62,25121.08
Potato,14.78,150.39,371.68,9264.66,55895.6,46630.94
Wheat,12.52,128.16,1015.05,11235.88,130087.69,118851.81
Maize,8.76,107.28,1029.74,4797.07,110468.47,105671.39
Maize,2.96,17.32,466.5,3489.03,8079.68,4590.65
Maize,9.41,117.34,375.37,13144.68,44045.11,30900.43
Maize,6.66,94.72,622.04,4827.11,58922.07,54094.96
Potato,11.33,32.48,803.15,6736.24,26087.09,19350.85
Sugarcane,12.72,110.83,1115.51,14828.44,123632.78,108804.35
Soybean,8.93,83.54,863.67,12717.59,72147.21,59429.62
Sugarcane,7.77,46.27,739.84,3842.89,34235.68,30392.79
Cotton,1.72,16.67,796.84,1205.85,13280.58,12074.73
Maize,7.64,54.87,551.54,6075.95,30261.99,24186.03
Sugarcane,10.64,92.28,446.4,13647.26,41192.98,27545.72
Sugarcane,1.03,18.04,205.25,437.59,3702.6,3265.01
Sugarcane,2.28,37.97,336.82,3286.94,12787.35,9500.4
Tomato,8.3,24.32,1158.17,10041.42,28165.59,18124.17
Tomato,12.29,152.05,892.28,16213.39,135670.07,119456.68
Rice,13.65,166.08,893.18,4939.09,148342.77,143403.68
Maize,1.55,20.4,1125.25,801.89,22950.62,22148.72
Sugarcane,7.62,50.8,320.52,8976.3,16281.96,7305.66
Wheat,13.94,244.29,1144.27,12116.0,279533.1,267417.1
Potato,1.77,15.93,722.43,1898.25,11510.31,9612.05
Potato,9.35,49.5,320.57,3667.54,15867.37,12199.83
Sugarcane,8.42,73.94,604.49,8313.47,44692.74,36379.27
Soybean,8.55,124.42,518.75,8989.67,64542.22,55552.55
Soybean,6.98,111.36,617.51,5959.34,68767.16,62807.83
Maize,1.3,20.68,728.94,1851.77,15072.12,13220.36
Wheat,1.98,3.28,252.68,804.55,828.95,24.4
Potato,7.72,91.49,1073.68,11429.97,98231.8,86801.83
Maize,2.28,16.1,722.52,2691.96,11633.27,8941.3
Rice,2.55,18.72,487.24,1669.5,9121.61,7452.11
Potato,9.25,56.18,1110.34,3274.74,62376.19,59101.45
Tomato,6.38,81.12,418.25,9187.73,33930.33,24742.6
Sugarcane,4.63,51.86,1182.33,6295.83,61315.7,55019.86
Soybean,7.54,87.67,367.03,11235.49,32176.62,20941.13
Wheat,6.62,101.48,430.57,8587.38,43693.41,35106.03
Potato,4.23,18.66,420.49,2215.03,7847.55,5632.51
Wheat,12.57,184.89,829.78,7032.29,153419.91,146387.62
Rice,13.99,250.62,373.9,10847.97,93704.97,82857.0
Maize,7.88,141.3,1097.44,6742.83,155070.74,148327.91
Sugarcane,4.13,42.82,792.94,4117.34,33955.93,29838.59
Maize,7.4,58.89,472.96,6456.42,27854.49,21398.07
Wheat,14.38,226.11,1009.52,15619.9,228264.91,212645.01
Sugarcane,11.29,69.37,452.65,3456.76,31401.27,27944.5
Wheat,11.13,107.74,281.05,6278.57,30279.8,24001.23
Sugarcane,13.52,241.51,261.52,18383.97,63158.16,44774.19
Potato,9.29,140.4,547.81,10349.65,76913.65,66563.99
Wheat,13.1,178.32,721.26,17581.38,128618.1,111036.72
Cotton,12.91,204.08,908.36,16837.59,185380.84,168543.25
Rice,14.02,45.52,898.99,7390.13,40919.1,33528.97
Sugarcane,13.33,211.79,229.25,17211.59,48551.69,31340.1
Maize,12.48,65.79,1108.7,3760.55,72946.53,69185.98
Maize,12.65,124.9,206.39,8152.16,25776.56,17624.4
Potato,5.57,59.81,315.84,4188.88,18890.07,14701.18
Soybean,8.56,122.98,306.98,10385.03,37753.22,27368.19
Maize,7.05,108.32,592.15,3634.25,64143.71,60509.46
Sugarcane,2.44,41.31,887.89,928.77,36678.83,35750.06
Wheat,3.33,47.35,908.57,2890.78,43017.78,40127.0
Potato,9.69,21.85,1071.54,14230.87,23418.24,9187.38
Sugarcane,7.24,88.26,794.4,5507.42,70113.99,64606.57
Sugarcane,1.31,8.96,688.64,1603.75,6168.86,4565.11
Maize,1.01,4.18,668.54,1453.82,2795.76,1341.94
Wheat,7.32,30.74,994.81,8288.65,30580.49,22291.84
Cotton,12.76,181.84,430.05,5838.66,78200.78,72362.11
Wheat,14.31,57.14,632.33,20499.77,36131.85,15632.08
Soybean,13.0,226.44,960.09,10802.39,217406.2,206603.82
Wheat,6.73,109.39,429.95,3740.41,47033.27,43292.86
Soybean,13.15,174.9,762.75,11389.0,133401.29,122012.28
Wheat,14.55,66.39,1068.62,17930.18,70942.16,53011.98
Tomato,7.35,75.36,217.86,9234.91,16418.35,7183.44
Cotton,1.46,24.3,816.65,1827.71,19841.23,18013.52
Rice,1.02,11.57,807.31,607.34,9339.34,8732.0
Rice,3.81,36.59,264.21,3801.12,9668.35,5867.23
Sugarcane,9.26,80.12,1184.35,4441.91,94887.54,90445.63
Sugarcane,2.01,16.07,679.94,2054.59,10923.9,8869.31
Soybean,10.2,142.68,1152.65,14168.61,164462.13,150293.52
Wheat,7.73,24.97,442.05,11466.97,11037.4,-429.58
Soybean,1.26,11.89,410.35,899.14,4879.55,3980.41
Soybean,1.14,7.83,717.71,460.9,5618.71,5157.81
Sugarcane,2.16,32.55,557.8,1479.52,18157.53,16678.01
Potato,8.95,115.18,1000.59,4832.22,115252.3,110420.08
Tomato,10.39,178.63,324.22,14284.76,57916.96,43632.21
Rice,14.11,33.26,741.3,16235.33,24653.7,8418.38
Soybean,14.26,168.55,983.42,14757.97,165758.14,151000.18
Tomato,2.12,34.51,747.59,2717.26,25797.05,23079.78
Maize,7.73,16.8,364.0,6389.71,6114.74,-274.98
Maize,1.84,10.29,359.54,2483.53,3699.55,1216.02
Maize,5.61,51.9,944.28,7547.12,49010.61,41463.49
Sugarcane,10.22,99.36,755.36,11888.51,75052.39,63163.88
Potato,5.65,59.07,693.28,2248.71,40953.74,38705.03
Wheat,10.52,28.32,230.65,6410.94,6532.26,121.33
Cotton,3.44,59.67,615.91,4523.6,36752.09,32228.49
Sugarcane,5.84,44.54,1187.65,2034.16,52894.17,50860.01
Rice,8.2,91.82,229.39,6348.73,21062.73,14714.01
Cotton,13.23,216.43,621.72,8362.61,134558.92,126196.31
Wheat,4.97,36.94,583.85,4272.51,21565.34,17292.82
Sugarcane,11.26,41.35,915.82,15665.83,37866.72,22200.89
Tomato,9.86,75.41,712.62,7841.46,53741.75,45900.29
Potato,7.89,44.03,1070.75,6584.73,47146.53,40561.81
Soybean,9.11,113.29,295.26,9863.97,33450.0,23586.03
Rice,14.57,83.92,856.74,10057.85,71898.86,61841.02
Soybean,9.38,75.48,437.03,5456.65,32985.59,27528.94
Maize,2.03,8.73,719.77,1429.2,6281.14,4851.94
Potato,3.04,27.11,787.88,4373.28,21358.66,16985.38
Rice,3.34,14.24,236.67,3951.83,3370.55,-581.28
Sugarcane,8.47,121.95,905.39,7077.19,110413.69,103336.49
Tomato,13.16,64.42,311.92,8205.27,20092.55,11887.28
Maize,2.72,14.46,251.7,2906.67,3639.94,733.27
Wheat,7.33,123.96,516.16,6661.35,63980.55,57319.2
Potato,10.63,85.68,679.9,11944.72,58255.52,46310.8
Potato,14.33,172.56,1067.92,12114.79,184275.58,172160.8
Tomato,8.3,59.41,732.24,3744.29,43500.18,39755.89
Potato,5.31,69.72,401.85,5885.24,28016.81,22131.57
Maize,3.64,49.31,356.16,2114.75,17562.94,15448.19
Tomato,3.48,44.99,1038.12,4988.85,46706.71,41717.87
Maize,1.25,6.88,1030.88,1665.53,7096.7,5431.17
Rice,1.43,24.03,889.53,1584.8,21378.43,19793.63
Wheat,14.17,214.61,866.97,14067.7,186059.21,171991.51
Potato,10.21,183.68,248.21,15035.09,45591.15,30556.06
Rice,14.91,207.43,290.48,9636.04,60253.99,50617.95
Wheat,13.3,108.63,527.03,14643.93,57252.77,42608.85
Potato,13.62,217.71,517.2,18286.32,112596.94,94310.62
Rice,2.68,28.13,205.76,1849.89,5787.58,3937.69
Cotton,9.54,102.98,580.42,9138.97,59769.01,50630.04
Rice,4.33,33.13,427.27,1677.63,14154.76,12477.14
Wheat,3.36,40.64,959.34,3024.19,38990.52,35966.33
Sugarcane,13.09,131.72,679.18,4328.68,89458.7,85130.01
Maize,2.52,9.99,726.62,1503.01,7262.1,5759.09
Cotton,9.51,134.3,1012.99,11049.0,136040.07,124991.07
Wheat,8.3,125.04,630.86,11417.53,78880.32,67462.79
Sugarcane,13.57,74.89,1127.03,5053.3,84398.32,79345.02
Sugarcane,7.71,36.31,366.33,8023.25,13301.13,5277.88
Sugarcane,4.99,32.77,1003.03,4723.81,32873.2,28149.39
Soybean,2.25,30.08,599.91,3319.18,18045.66,14726.48
Maize,2.71,12.15,881.12,1401.18,10704.66,9303.49
Sugarcane,3.58,22.84,993.41,1871.93,22688.23,20816.3
Soybean,14.48,137.26,1005.99,13905.67,138080.5,124174.83
Soybean,8.37,28.07,202.58,8919.98,5686.15,-3233.83
Sugarcane,13.38,70.42,412.04,13822.76,29015.1,15192.33
Maize,6.05,99.52,969.94,5856.97,96527.92,90670.94
Wheat,11.93,71.97,1022.61,9643.1,73600.87,63957.77
Maize,12.33,174.52,349.7,9974.45,61028.85,51054.4
Sugarcane,3.35,45.79,1062.8,1877.53,48660.94,46783.41
Rice,3.5,23.27,430.25,1915.02,10012.69,8097.67
Wheat,4.25,33.77,794.48,3806.06,26825.89,23019.83
Maize,4.84,54.98,875.84,4026.26,48154.29,44128.03
Sugarcane,11.05,142.78,1191.26,5015.86,170083.35,165067.49
Wheat,9.45,66.72,1105.52,11590.49,73763.19,62172.69
Cotton,2.2,35.75,391.87,1513.16,14007.84,12494.68
Wheat,5.81,67.88,642.41,7542.55,43604.76,36062.21
Cotton,12.2,65.37,740.01,16551.13,48376.78,31825.65
Maize,10.52,55.86,656.86,5559.64,36690.24,31130.61
Maize,14.92,185.29,757.78,17555.16,140406.75,122851.6
Potato,5.67,62.81,288.77,8244.14,18137.78,9893.65
Sugarcane,10.66,51.33,735.83,4434.71,37771.92,33337.2
Rice,12.51,19.01,500.85,18476.36,9522.77,-8953.59
Wheat,13.98,75.1,599.32,6751.17,45007.14,38255.97
Sugarcane,11.32,160.55,443.66,12519.03,71227.53,58708.5
Cotton,9.73,28.9,955.27,4410.27,27611.21,23200.93
Soybean,8.1,33.42,263.11,3571.67,8793.99,5222.33
Tomato,4.68,34.86,287.64,6671.05,10026.18,3355.13
Rice,8.14,123.0,479.7,11641.71,59001.53,47359.82
Maize,8.22,137.02,696.96,12251.92,95497.24,83245.32
Sugarcane,6.47,63.25,597.18,6135.84,37771.86,31636.02
Sugarcane,6.33,101.17,1068.06,8019.2,108060.28,100041.08
Soybean,3.97,59.55,522.53,1299.33,31117.87,29818.54
Wheat,10.73,77.37,1175.61,11471.42,90951.42,79480.0
Rice,9.05,85.18,513.73,9302.54,43757.33,34454.79
Rice,9.49,133.96,374.84,8568.0,50212.64,41644.64
Rice,12.55,156.84,321.76,10969.66,50463.73,39494.07
Cotton,2.89,50.3,749.53,4219.87,37702.56,33482.69
Soybean,9.32,157.99,1076.11,5902.43,170012.08,164109.65
Tomato,9.97,50.5,819.59,10771.7,41391.08,30619.38
Wheat,6.41,69.32,391.78,3552.07,27157.58,23605.5
Potato,14.93,36.62,895.04,22099.82,32780.09,10680.27
Wheat,3.39,9.26,982.7,2096.17,9097.33,7001.17
Tomato,10.69,27.02,709.42,15993.01,19170.71,3177.69
Rice,4.26,21.89,373.75,4626.84,8183.31,3556.47
Potato,6.97,25.47,1086.6,5848.94,27675.46,21826.52
Sugarcane,5.96,60.61,681.63,3052.74,41314.62,38261.88
Sugarcane,11.77,19.8,616.15,10329.74,12198.48,1868.74
Potato,12.06,133.98,880.97,6365.76,118036.7,111670.94
Sugarcane,4.01,6.82,441.2,5903.06,3009.78,-2893.28
Maize,1.9,4.2,571.41,1179.01,2398.07,1219.06
Wheat,7.36,113.6,298.08,6521.28,33861.74,27340.46
Cotton,13.11,72.31,851.71,16680.66,61584.39,44903.73
Sugarcane,6.52,59.23,985.02,8939.33,58344.02,49404.69
Rice,2.43,30.06,1142.83,3087.82,34349.41,31261.59
Soybean,4.57,70.19,238.43,6309.89,16735.15,10425.26
Sugarcane,12.55,121.44,586.35,10545.43,71205.42,60659.99
Rice,9.6,24.94,718.41,4607.58,17920.59,13313.01
Soybean,14.84,130.76,247.83,5127.66,32407.18,27279.52
Tomato,11.03,29.66,271.26,3468.8,8045.48,4576.68
Sugarcane,8.12,64.11,661.95,12098.2,42438.0,30339.8
Cotton,11.85,147.03,385.2,6028.37,56635.03,50606.66
Sugarcane,8.69,132.19,268.71,7035.31,35521.55,28486.24
Tomato,2.15,37.57,495.44,2630.09,18612.32,15982.23
Rice,14.66,183.46,210.43,8893.58,38605.87,29712.29
Cotton,11.84,143.61,730.3,4149.75,104880.31,100730.56
Maize,5.51,19.65,674.34,2406.93,13253.56,10846.64
Sugarcane,9.15,126.72,1011.77,9957.4,128211.04,118253.64
Wheat,1.61,5.37,798.53,667.51,4285.13,3617.62
Soybean,7.05,61.68,812.94,10092.1,50142.69,40050.59
Potato,14.0,177.11,696.05,4412.49,123274.89,118862.4
Sugarcane,5.0,74.86,1061.37,6582.63,79449.86,72867.23
Rice,8.62,103.35,421.06,12700.99,43518.23,30817.24
Potato,11.2,160.27,856.16,5744.06,137218.18,131474.12
Potato,11.54,68.62,739.56,13548.04,50748.98,37200.94
Maize,2.84,38.34,1017.79,1581.98,39017.89,37435.9
Wheat,3.11,22.23,613.42,3761.9,13636.61,9874.71
Rice,8.12,52.03,765.02,9145.17,39801.51,30656.34
Tomato,9.08,145.04,633.8,4476.81,91926.16,87449.35
Maize,1.13,6.3,926.46,1684.85,5834.77,4149.92
Soybean,3.72,59.51,857.56,2500.86,51032.32,48531.46
Sugarcane,11.26,131.37,388.02,8182.13,50974.39,42792.25
Sugarcane,8.54,86.69,1048.05,11172.23,90852.04,79679.81
Cotton,11.44,55.38,1158.07,8483.29,64135.91,55652.61
Wheat,11.59,178.36,670.32,10457.44,119560.71,109103.26
Maize,6.16,54.8,922.07,8393.76,50533.31,42139.55
Wheat,2.93,36.44,201.88,1505.91,7357.27,5851.36
Maize,9.67,71.26,994.2,3981.81,70843.52,66861.7
Tomato,13.24,131.3,923.4,5626.4,121238.74,115612.35
Maize,8.86,95.26,803.49,9851.08,76541.3,66690.23
Maize,9.43,17.71,522.11,10031.57,9248.26,-783.31
Wheat,1.82,12.77,984.9,2091.25,12572.37,10481.13
Tomato,12.55,126.58,573.46,5608.81,72591.11,66982.3
